table_schema,table_name,column_name,description
dev_hotel_sales,nihrm__FunctionRoomGroupComponent__c,LastModifiedById,
dev_hotel_sales,nihrm__EventClassification__c,LastModifiedById,
dev_hotel_sales,nihrm__VolumeContract__c,LastModifiedById,
dev_hotel_sales,nihrm__PmsRoomNight__c,LastModifiedById,
dev_hotel_sales,nihrm__ReservationNight__c,LastModifiedById,
dev_hotel_sales,nihrm__Channel__c,LastModifiedById,
dev_hotel_sales,nihrm__Booking__c,LastModifiedById,
dev_hotel_sales,sertifisem__DataMapItem__c,LastModifiedById,
dev_hotel_sales,nihrm__BookingContact__c,LastModifiedById,
dev_hotel_sales,nihrm__OtherIncome__c,LastModifiedById,
dev_hotel_sales,nihrm__Reservation__c,LastModifiedById,
dev_hotel_sales,nihrm__Transaction__c,LastModifiedById,
dev_hotel_sales,nihrm__PicklistMapping__c,LastModifiedById,
dev_hotel_sales,nihrm__EventItemAlternatePrice__c,LastModifiedById,
dev_hotel_sales,nihrm__VolumeContractPickup__c,LastModifiedById,
dev_hotel_sales,nihrm__PackageEvent__c,LastModifiedById,
dev_hotel_sales,nihrm__EventItem__c,LastModifiedById,
dev_hotel_sales,nihrm__ChannelLocation__c,LastModifiedById,
dev_hotel_sales,nihrm__SiteRateCode__c,LastModifiedById,
dev_hotel_sales,nihrm__EventPackageItem__c,LastModifiedById,
dev_hotel_sales,nihrm__RoomBlockRevenue__c,LastModifiedById,
dev_hotel_sales,nihrm__Site__c,LastModifiedById,
dev_hotel_sales,nihrm__Location__c,LastModifiedById,
dev_hotel_sales,nihrm__CustomMapping__c,LastModifiedById,
dev_hotel_sales,sertifisem__DataMap__c,LastModifiedById,
dev_hotel_sales,nihrm__RateCode__c,LastModifiedById,
dev_hotel_sales,nihrm__SalesGoal__c,LastModifiedById,
dev_hotel_sales,nihrm__VolumeContractContact__c,LastModifiedById,
dev_hotel_sales,nihrm__Item__c,LastModifiedById,
dev_hotel_sales,nihrm__EventPackageRevenueBreakdown__c,LastModifiedById,
dev_hotel_sales,nihrm__RevenueClassificationJunction__c,LastModifiedById,
dev_hotel_sales,nihrm__RoomblockPackage__c,LastModifiedById,
dev_hotel_sales,nihrm__EventItemRevenueBreakdown__c,LastModifiedById,
dev_hotel_sales,nihrm__Inquiry__c,LastModifiedById,
dev_hotel_sales,nihrm__BookingPostedRevenue__c,LastModifiedById,
dev_hotel_sales,nihrm__ReservationOtherIncomeDay__c,LastModifiedById,
dev_hotel_sales,nihrm__BookingRoomNight__c,LastModifiedById,
dev_hotel_sales,nihrm__BookingInquiry__c,LastModifiedById,
dev_hotel_sales,nihrm__EventFunctionroomDate__c,LastModifiedById,
dev_hotel_sales,nihrm__BookingPackage__c,LastModifiedById,
dev_hotel_sales,nihrm__SetupValue__c,LastModifiedById,
dev_hotel_sales,nihrm__EIRevBreakdownAlternatePrice__c,LastModifiedById,
dev_hotel_sales,nihrm__BookingRoomBlock__c,LastModifiedById,
dev_hotel_sales,nihrm__EventClassificationItem__c,LastModifiedById,
dev_hotel_sales,nihrm__SiteFunctionRoomSetup__c,LastModifiedById,
dev_hotel_sales,nihrm__PmsRoomBlock__c,LastModifiedById,
dev_hotel_sales,nihrm__VolumeContractGuestroomType__c,LastModifiedDate,
